userId,gender,age
02ae95de-7ee3-453a-978d-25d28b3f1a88,M,25-34
03f72f70-7a00-4dbb-93b7-6c7f65954fc5,M,25-34
0aa7bace-924c-40fb-a2e5-3c7012ede244,M,35-49
0b66092a-440e-4755-a624-759a580a1c70,F,25-34
1aa8c430-853b-4bbc-b784-df4c88264ccd,F,25-34
1cd73ab3-e945-4334-ac09-7a1bf62559ab,F,18-24
1d2a2248-1dbf-4e18-933d-42eeedb3ae7e,F,50-XX
1d59f39c-0b44-4d7e-93c6-a471844ff684,F,25-34
1ed443b9-afda-47f8-a3cf-3341e174d9a3,M,50-XX
1f17c4c3-0942-4fe5-8e03-5ad9f6a514d1,M,18-24
2aa1a2fb-ff75-4228-a806-f66c39b292f9,M,18-24
2ae9cc17-b851-4f6a-910e-bf2a2f6d91ab,F,25-34
2b27ab92-c89d-4529-a238-905974a11cfd,M,25-34
3a396b48-d99c-4b22-9040-a50b6976f7cd,F,18-24
3aae4b14-7dfe-4cb7-b82a-629d01d06da0,F,25-34
3be30fbc-698d-48c9-916b-b3a50bf38252,M,25-34
